time,symbol,open,high,low,close,volume
2026-03-26T18:11:00Z,NVDA,172.13,172.22,172.1,172.22,5527
2026-03-26T18:11:00Z,SPY,647.03,647.09,646.89,646.905,1253
2026-03-26T18:12:00Z,NVDA,172.24,172.35,172.235,172.31,12730
2026-03-26T18:12:00Z,SPY,646.97,647.13,646.965,647.13,2182
2026-03-26T18:13:00Z,AMD,205.925,206.01,205.74,206.01,852
2026-03-26T18:13:00Z,NVDA,172.33,172.41,172.24,172.41,12393
2026-03-26T18:13:00Z,SPY,647.025,647.16,647.025,647.1,979
2026-03-26T18:14:00Z,AMD,205.82,205.82,205.73,205.73,834
2026-03-26T18:14:00Z,NVDA,172.415,172.42,172.355,172.39,7387
2026-03-26T18:14:00Z,SPY,647.025,647.115,647.025,647.03,1308
2026-03-26T18:15:00Z,AMD,205.73,205.73,205.685,205.685,446
2026-03-26T18:15:00Z,NVDA,172.37,172.4,172.24,172.24,7147
2026-03-26T18:15:00Z,SPY,647.035,647.035,646.89,646.92,1175
2026-03-26T18:16:00Z,NVDA,172.22,172.29,172.13,172.27,15606
2026-03-26T18:16:00Z,SPY,646.94,647.06,646.78,647.055,1778
2026-03-26T18:17:00Z,AMD,205.32,205.43,205.32,205.43,642
2026-03-26T18:17:00Z,NVDA,172.275,172.275,172.065,172.11,5432
2026-03-26T18:17:00Z,SPY,647.085,647.085,646.87,646.88,458
2026-03-26T18:18:00Z,AMD,205.43,205.58,205.43,205.56,899
2026-03-26T18:18:00Z,NVDA,172.105,172.26,172.105,172.245,5162
2026-03-26T18:18:00Z,SPY,646.805,646.96,646.805,646.92,560
2026-03-26T18:19:00Z,AMD,205.64,205.64,205.54,205.605,1775
2026-03-26T18:19:00Z,NVDA,172.25,172.315,172.17,172.17,6834
2026-03-26T18:19:00Z,SPY,646.92,646.95,646.865,646.865,433
2026-03-26T18:20:00Z,AMD,205.61,205.69,205.6,205.64,1722
2026-03-26T18:20:00Z,NVDA,172.2,172.21,172.17,172.19,3754
2026-03-26T18:21:00Z,AMD,205.61,205.73,205.6,205.66,1198
2026-03-26T18:21:00Z,NVDA,172.215,172.295,172.19,172.205,18181
2026-03-26T18:21:00Z,SPY,646.725,646.815,646.66,646.815,1109
2026-03-26T18:22:00Z,AMD,205.65,205.65,205.54,205.62,1369
2026-03-26T18:22:00Z,NVDA,172.2,172.26,172.19,172.23,5508
2026-03-26T18:22:00Z,SPY,646.945,646.945,646.8,646.8,323
2026-03-26T18:23:00Z,AMD,205.6,205.76,205.6,205.61,1438
2026-03-26T18:23:00Z,NVDA,172.22,172.355,172.22,172.32,7284
2026-03-26T18:23:00Z,SPY,646.87,647.03,646.87,647.03,1217
2026-03-26T18:24:00Z,AMD,205.61,205.62,205.48,205.48,1122
2026-03-26T18:24:00Z,NVDA,172.33,172.37,172.32,172.34,6052
2026-03-26T18:24:00Z,SPY,646.995,647.135,646.955,647.075,2227
2026-03-26T18:25:00Z,AMD,205.59,205.615,205.46,205.46,1225
2026-03-26T18:25:00Z,NVDA,172.36,172.465,172.36,172.42,11367
2026-03-26T18:25:00Z,SPY,647.07,647.24,647.07,647.105,1569
2026-03-26T18:26:00Z,AMD,205.42,205.46,205.28,205.33,1431
2026-03-26T18:26:00Z,NVDA,172.34,172.35,172.26,172.295,9736
2026-03-26T18:26:00Z,SPY,647.0,647.03,646.77,646.83,1060
2026-03-26T18:27:00Z,AMD,205.39,205.41,205.33,205.33,1285
2026-03-26T18:27:00Z,NVDA,172.31,172.355,172.21,172.21,8343
2026-03-26T18:27:00Z,SPY,646.915,646.915,646.71,646.71,572
2026-03-26T18:28:00Z,AMD,205.275,205.275,205.05,205.11,1945
2026-03-26T18:28:00Z,NVDA,172.24,172.25,172.015,172.08,15184
2026-03-26T18:28:00Z,SPY,646.605,646.62,646.525,646.56,1128
2026-03-26T18:29:00Z,AMD,205.13,205.23,205.13,205.23,2167
2026-03-26T18:29:00Z,NVDA,172.07,172.125,172.035,172.095,12220
2026-03-26T18:29:00Z,SPY,646.61,646.64,646.58,646.59,1608
2026-03-26T18:30:00Z,AMD,205.25,205.46,205.2,205.35,1287
2026-03-26T18:30:00Z,NVDA,172.15,172.22,172.11,172.17,8910
2026-03-26T18:30:00Z,SPY,646.6,646.97,646.6,646.965,1578
2026-03-26T18:31:00Z,AMD,205.39,205.39,205.3,205.33,1044
2026-03-26T18:31:00Z,NVDA,172.16,172.195,172.06,172.14,12401
2026-03-26T18:31:00Z,SPY,646.94,647.045,646.825,646.96,8193
2026-03-26T18:32:00Z,AMD,205.375,205.5,205.375,205.5,1570
2026-03-26T18:32:00Z,NVDA,172.1,172.23,172.075,172.23,6333
2026-03-26T18:32:00Z,SPY,646.91,647.15,646.86,647.15,1930
2026-03-26T18:33:00Z,AMD,205.53,205.53,205.51,205.51,676
2026-03-26T18:33:00Z,NVDA,172.21,172.285,172.21,172.27,6180
2026-03-26T18:33:00Z,SPY,647.1,647.1,646.99,647.07,991
2026-03-26T18:34:00Z,AMD,205.44,205.49,205.44,205.47,708
2026-03-26T18:34:00Z,NVDA,172.265,172.275,172.19,172.245,7564
2026-03-26T18:34:00Z,SPY,647.05,647.185,647.04,647.135,1600
2026-03-26T18:35:00Z,AMD,205.38,205.38,205.22,205.28,1036
2026-03-26T18:35:00Z,NVDA,172.24,172.24,172.07,172.205,10478
